input_len,output_len,snapkv,compression_rate,snapkv_limit,duration,total_tokens,throughput
2000,500,OFF,1,N/A,127.229,640000,5030.3
2000,500,ON,2,1000,95.6178,640000,6693.31
2000,500,ON,4,500,88.4995,640000,7231.68
2000,500,ON,8,250,84.8976,640000,7538.49
2000,500,ON,16,125,82.8745,640000,7722.52
2000,500,ON,32,62,81.9309,640000,7811.46
2000,500,ON,64,31,81.5467,640000,7848.26
4000,500,OFF,1,N/A,218.9602,1152000,5261.23
4000,500,ON,2,2000,193.8618,1152000,5942.38
4000,500,ON,4,1000,161.0337,1152000,7153.78
4000,500,ON,8,500,154.0565,1152000,7477.78
4000,500,ON,16,250,150.4413,1152000,7657.47
4000,500,ON,32,125,148.3669,1152000,7764.53
4000,500,ON,64,62,147.4628,1152000,7812.14
6000,500,OFF,1,N/A,319.2726,1664000,5211.85
6000,500,ON,2,3000,272.7742,1664000,6100.28
6000,500,ON,4,1500,247.5208,1664000,6722.67
6000,500,ON,8,750,229.6014,1664000,7247.34
6000,500,ON,16,375,224.3866,1664000,7415.77
6000,500,ON,32,187,221.6309,1664000,7507.98
6000,500,ON,64,93,220.0434,1664000,7562.15
8000,500,OFF,1,N/A,432.4248,2176000,5032.09
8000,500,ON,2,4000,372.5992,2176000,5840.05
8000,500,ON,4,2000,342.7229,2176000,6349.15
8000,500,ON,8,1000,311.9364,2176000,6975.78
8000,500,ON,16,500,304.8703,2176000,7137.46
8000,500,ON,32,250,301.306,2176000,7221.89
8000,500,ON,64,125,299.28,2176000,7270.78
10000,500,OFF,1,N/A,535.7366,2688000,5017.39
10000,500,ON,4,2500,433.9107,2688000,6194.82
10000,500,ON,8,1250,404.2938,2688000,6648.63
10000,500,ON,16,625,395.53,2688000,6795.95
10000,500,ON,32,312,391.0353,2688000,6874.06
10000,500,ON,64,156,388.9263,2688000,6911.33
