input_len,output_len,snapkv,compression_rate,snapkv_limit,duration,total_tokens,throughput
2000,500,OFF,1,N/A,75.3396,640000,8494.86
2000,500,ON,2,1000,51.0935,640000,12526.06
2000,500,ON,4,500,42.9396,640000,14904.66
2000,500,ON,8,250,34.211,640000,18707.41
2000,500,ON,16,125,29.0717,640000,22014.51
2000,500,ON,32,62,27.4647,640000,23302.67
2000,500,ON,64,31,25.8765,640000,24732.85
4000,500,OFF,1,N/A,132.0691,1152000,8722.71
4000,500,ON,2,2000,85.34,1152000,13498.94
4000,500,ON,4,1000,56.4775,1152000,20397.52
4000,500,ON,8,500,52.0959,1152000,22113.08
4000,500,ON,16,250,40.4539,1152000,28476.85
4000,500,ON,32,125,36.3731,1152000,31671.78
4000,500,ON,64,62,34.193,1152000,33691.1
6000,500,OFF,1,N/A,193.3954,1664000,8604.14
6000,500,ON,2,3000,111.5437,1664000,14917.92
6000,500,ON,4,1500,75.7966,1664000,21953.48
6000,500,ON,8,750,59.9121,1664000,27774.03
6000,500,ON,16,375,54.8346,1664000,30345.79
6000,500,ON,32,187,47.038,1664000,35375.68
6000,500,ON,64,93,44.3926,1664000,37483.75
8000,500,OFF,1,N/A,255.7273,2176000,8509.06
8000,500,ON,2,4000,153.785,2176000,14149.62
8000,500,ON,4,2000,102.3852,2176000,21253.07
8000,500,ON,8,1000,75.96,2176000,28646.65
8000,500,ON,16,500,68.2918,2176000,31863.28
