input_len,output_len,snapkv,compression_rate,snapkv_limit,duration,total_tokens,throughput,max_batch_size
2000,512,OFF,1,N/A,236.6429,1286144,5434.96,239
2000,512,ON,2,1000,213.8333,1286144,6014.7,477
2000,512,ON,4,500,182.991,1286144,7028.45,512
2000,512,ON,8,250,167.4119,1286144,7682.51,512
2000,512,ON,16,125,163.9723,1286144,7843.67,512
2000,512,ON,32,62,162.1123,1286144,7933.66,512
2000,512,ON,64,31,161.3343,1286144,7971.92,512
4000,512,OFF,1,N/A,427.7392,2310144,5400.82,119
4000,512,ON,2,2000,370.9962,2310144,6226.87,238
4000,512,ON,4,1000,339.3906,2310144,6806.74,475
4000,512,ON,8,500,309.8274,2310144,7456.23,512
4000,512,ON,16,250,294.3325,2310144,7848.76,512
4000,512,ON,32,125,290.7785,2310144,7944.69,512
4000,512,ON,64,62,289.0044,2310144,7993.46,512
6000,512,OFF,1,N/A,629.355,3334144,5297.72,79
6000,512,ON,2,3000,540.476,3334144,6168.9,158
6000,512,ON,4,1500,491.0165,3334144,6790.29,315
6000,512,ON,8,750,466.9928,3334144,7139.6,512
6000,512,ON,16,375,442.7065,3334144,7531.27,512
6000,512,ON,32,187,431.3592,3334144,7729.39,512
6000,512,ON,64,93,427.1504,3334144,7805.55,512
8000,512,OFF,1,N/A,845.7756,4358144,5152.84,59
8000,512,ON,2,4000,728.1229,4358144,5985.45,118
8000,512,ON,4,2000,661.9123,4358144,6584.17,236
8000,512,ON,8,1000,632.5154,4358144,6890.18,471
8000,512,ON,16,500,602.1535,4358144,7237.6,512
8000,512,ON,32,250,586.2356,4358144,7434.12,512
8000,512,ON,64,125,582.4657,4358144,7482.23,512
10000,512,OFF,1,N/A,1085.0519,5382144,4960.26,47
10000,512,ON,2,5000,932.8723,5382144,5769.43,94
10000,512,ON,4,2500,856.2661,5382144,6285.6,188
10000,512,ON,8,1250,803.5111,5382144,6698.28,375
10000,512,ON,16,625,785.3926,5382144,6852.81,512
10000,512,ON,32,312,759.6021,5382144,7085.48,512
10000,512,ON,64,156,750.8677,5382144,7167.9,512
